Course,Term_Offered,Campus
AERO9500,Term 3 2019,"Main Campus, Kensington"
AERO9660,Term 3 2019,"Main Campus, Kensington"
ANAT2521,Summer Term 2019,"Main Campus, Kensington"
ANAT2111,Term 1 2019,"Main Campus, Kensington"
ANAT2451,Term 1 2019,"Main Campus, Kensington"
ANAT3121,Term 1 2019,"Main Campus, Kensington"
ANAT3411,Term 1 2019,"Main Campus, Kensington"
ANAT1521,Term 2 2019,"Main Campus, Kensington"
ANAT2111,Term 2 2019,"Main Campus, Kensington"
ANAT2241,Term 2 2019,"Main Campus, Kensington"
ANAT3131,Term 2 2019,"Main Campus, Kensington"
ANAT2341,Term 3 2019,"Main Campus, Kensington"
ANAT2511,Term 3 2019,"Main Campus, Kensington"
ANAT3141,Term 3 2019,"Main Campus, Kensington"
ARCH0006,Summer Term 2019,"Main Campus, Kensington"
ARCH9006,Summer Term 2019,"Main Campus, Kensington"
ARCH1080,Term 1 2019,"Main Campus, Kensington"
ARCH1101,Term 1 2019,"Main Campus, Kensington"
ARCH1142,Term 1 2019,"Main Campus, Kensington"
ARCH1201,Term 1 2019,"Main Campus, Kensington"
ARCH1311,Term 1 2019,"Main Campus, Kensington"
ARCH1331,Term 1 2019,"Main Campus, Kensington"
ARCH1481,Term 1 2019,"Main Campus, Kensington"
ARCH1482,Term 1 2019,"Main Campus, Kensington"
ARCH7111,Term 1 2019,"Main Campus, Kensington"
ARCH7182,Term 1 2019,"Main Campus, Kensington"
ARCH7201,Term 1 2019,"Main Campus, Kensington"
ARCH7211,Term 1 2019,"Main Campus, Kensington"
ARCH7212,Term 1 2019,"Main Campus, Kensington"
ARCH7213,Term 1 2019,"Main Campus, Kensington"
ARCH7214,Term 1 2019,"Main Campus, Kensington"
ARCH7231,Term 1 2019,"Main Campus, Kensington"
ARCH7241,Term 1 2019,"Main Campus, Kensington"
ARCH9800,Term 1 2019,"Main Campus, Kensington"
ARCH9900,Term 1 2019,"Main Campus, Kensington"
ARCH1121,Term 2 2019,"Main Campus, Kensington"
